Description,Name,Symbol,Symbol-Display,Unicode,Type,Role,Voice,Place,Manner,Flap,Lateral,Liquid,Glide,Sonority,Back,Central,Front,Close,Mid,Open,Round,Rhotic,EML
Creaky voiced,Subscript tilde,̰,◌̰,0x330,Diacritic,diacritic_right,1,,,,,,,,,,,,,,,,
Voiceless,Under-ring,̥,◌̥,0x325,Diacritic,diacritic_right,0,,,,,,,,,,,,,,,,
Non-syllabic,Subscript arch,̯,◌̯,0x32f,Diacritic,diacritic_right,,,,,,,,,,,,,,,,,
Extra-short,Breve,̆,◌̆,0x306,Diacritic,diacritic_right,,,,,,,,,,,,,,,,,
Dental,Subscript bridge,̪,◌̪,0x32a,Diacritic,diacritic_right,,,,,,,,,,,,,,,,,
Apical,Inverted subscript bridge,̺,◌̺,0x33a,Diacritic,diacritic_right,,,,,,,,,,,,,,,,,
Laminal,Subscript square,̻,◌̻,0x33b,Diacritic,diacritic_right,,,,,,,,,,,,,,,,,
Voiced,Subscript wedge,̬,◌̬,0x32c,Diacritic,diacritic_right,1,,,,,,,,,,,,,,,,
More rounded,Subscript right half-ring,̹,◌̹,0x339,Diacritic,diacritic_right,,,,,,,,,,,,,,,,,
Less rounded,Subscript left half-ring,̜,◌̜,0x31c,Diacritic,diacritic_right,,,,,,,,,,,,,,,,,
Centralized,Umlaut,̈,◌̈,0x308,Diacritic,diacritic_right,,,,,,,,,,,,,,,,,
Breathy voiced,Subscript umlaut,̤,◌̤,0x324,Diacritic,diacritic_right,1,,,,,,,,,,,,,,,,
Raised,Raising sign,̝,◌̝,0x31d,Diacritic,diacritic_right,,,,,,,,,,,,,,,,,
Lowered,Lowering sign,̞,◌̞,0x31e,Diacritic,diacritic_right,,,,,,,,,,,,,,,,,
Advanced tongue root,Advancing sign,̘,◌̘,0x318,Diacritic,diacritic_right,,,,,,,,,,,,,,,,,
Retracted tongue root,Retracting sign,̙,◌̙,0x319,Diacritic,diacritic_right,,,,,,,,,,,,,,,,,
Advanced,Subscript plus,̟,◌̟,0x31f,Diacritic,diacritic_right,,,,,,,,,,,,,,,,,
Mid-centralized,Over-cross,̽,◌̽,0x33d,Diacritic,diacritic_right,,,,,,,,,,,,,,,,,
Retracted,Under-bar,̠,◌̠,0x320,Diacritic,diacritic_right,,,,,,,,,,,,,,,,,
Lenis,Under-dot,̣,◌̣,0x323,Diacritic,diacritic_right,,,,,,,,,,,,,,,,,
Lenis,Over-dot,̇,◌̇,0x307,Diacritic,diacritic_right,,,,,,,,,,,,,,,,,
Rhoticity,Right hook,˞,◌˞,0x2de,Diacritic,diacritic_right,,,,,,,,,,,,,,,,,
Rhoticity,Breve Below,̮,◌̮,0x32e,Diacritic,diacritic_right,,,,,,,,,,,,,,,,,
Extra low tone,Double grave,̏,◌̏,0x30f,Tone,diacritic_right,,,,,,,,,,,,,,,,,
Low tone,Grave accent,̀,◌̀,0x300,Tone,diacritic_right,,,,,,,,,,,,,,,,,
Mid tone,Macron,̄,◌̄,0x304,Tone,diacritic_right,,,,,,,,,,,,,,,,,
High tone,Acute accent,́,◌́,0x301,Tone,diacritic_right,,,,,,,,,,,,,,,,,
Extra high tone,Double acute,̋,◌̋,0x30b,Tone,diacritic_right,,,,,,,,,,,,,,,,,
Rising tone contour,Wedge; haček,̌,◌̌,0x30c,Tone,diacritic_right,,,,,,,,,,,,,,,,,
Falling tone contour,Circumflex,̂,◌̂,0x302,Tone,diacritic_right,,,,,,,,,,,,,,,,,
,,᷄,◌᷄,0x1dc4,Tone,diacritic_right,,,,,,,,,,,,,,,,,
,,᷅,◌᷅,0x1dc5,Tone,diacritic_right,,,,,,,,,,,,,,,,,
,,᷈,◌᷈,0x1dc8,Tone,diacritic_right,,,,,,,,,,,,,,,,,
Falling-rising tone contour,Falling-rising,᷉,◌᷉,0x1dc9,Tone,diacritic_right,,,,,,,,,,,,,,,,,
Tone upstep,Up arrow,ꜛ,ꜛ,0xa71b,Tone,diacritic_right,,,,,,,,,,,,,,,,,
Tone downstep,Down arrow,ꜜ,ꜜ,0xa71c,Tone,diacritic_right,,,,,,,,,,,,,,,,,
Global rise,Upward diagonal arrow,↗,↗,0x2197,Tone,diacritic_right,,,,,,,,,,,,,,,,,
Global fall,Downward diagonal arrow,↘,↘,0x2198,Tone,diacritic_right,,,,,,,,,,,,,,,,,
Tone number 1,Tone 1,¹,◌¹,0xb9,Tone,diacritic_right,,,,,,,,,,,,,,,,,
Tone number 2,Tone 2,²,◌²,0xb2,Tone,diacritic_right,,,,,,,,,,,,,,,,,
Tone number 3,Tone 3,³,◌³,0xb3,Tone,diacritic_right,,,,,,,,,,,,,,,,,
Tone number 4,Tone 4,⁴,◌⁴,0x2074,Tone,diacritic_right,,,,,,,,,,,,,,,,,
